year,V1
2003,i'm gonna close my body now guess i'll die another day i guess i'll die another day another day i'm gonna shake up the system 
2012,i thought it was you and i loved you the most i made a decision i would never look back 
2007,lead and i miss your mind bg love to give lead i need to love your body bg love your body 
2006,m-o m-o-r m-o-r-n-i-n-g-w-o-o-d if you're rock n roll disco heavy metal angel come on everybody to the nth degree uh-oh here we go turn up the radio 
2009,one night in bangkok and the world's your oyster and if you're lucky then the god's a she one night in bangkok and the tough guys tumble i can feel the devil walking next to me 
2011,all the games they play i want you tonight i want you to stay give me everything tonight hey 
2009,i tried to be your picture perfect girl cause i'm not a doll this ain't a dollhouse no i could never be stuck living like this 
2008,oh baby love me right cause with you is where i got to be yeah you know i want to be the only one cause with you is where i got to be 
2006,dani the girl is singing songs to me i know you want to hold one beneath the marquee of her soul by the way i tried to say i know you 
2009,you can see it through my chest and i'm terrified but i'm not leaving said i'm terrified but i'm not leaving no i i'm terrified but i'm not leaving no no 
2011,yellow diamonds in the light it's the way i'm feeling i just can't deny but i've gotta let it go we found love in a hopeless place 
2011,what she got is not for her to keep alone oh she's got nothing on but the radio she's a passion play what she got is just like gold dust on a shelf 
2014,i may cry ruining my make-up wash away all the things you've taken big girls cry when their hearts are breaking big girls cry when their heart is breaking 
2007,don't give it up to show to show don't give it up don't you wanna 
2009,just say yes just say there's nothing holding you back it's not a test nor a trick of the mind only love 
2009,i'm not easy to please i might tear you apart i'm only gonna break break your ey and i know karma's gonna get me back for being so cold ey 
2006,is anyone thinking anything i know i had something to say it lost a meaning and it faded away a bunch of drugs sent down to the mattress 
2008,i swear i never meant for this it was an honest mistake an honest mistake an honest 
2007,jump if you want to taste my kisses jump i know my heart can make you happy jump in you know these arms can feel you up 
2007,look what you're doing to me it's totally automatic all of my systems are down automatic automatic 
2008,like mama's bottle tasty if you put my bottle all the models gonna hate me when my bottle pop 
2014,getting faded till we trip oh i love to get 2 on get faded turn up bruh pour it on up till i can't even think no more 
2010,and we can do this until we pass out until we hit the ground and pass out i’m a star and i bought my fucking cast out i’m pissed i never got to fly on a concord 
2005,i let it out to taste the sweet of spring so maybe we're a bliss of another kind i said a bliss of another kind i said and i said steady as it comes right down to you 
2015,but i never knew love would feel like a heart attack it's killing me swear i never cried so much cause i never knew love would hurt this fucking bad and it hurts cause i wanna leave 
0,ey girl wassup yo wont ya be my lady ah i wanna know who you are and make you a star girl i'm giving you everything coz my love is yours 
2012,don't wanna give in so we both gave up can't take it back it's too late we've reached the climax climax 
2012,if you love it like i love it and you feel what i feel inside if you feel it say hell yeah hell yeah can you feel the love 
2015,so as sure as the sun will shine and the harder they come the harder they fall one and all cause as sure as the sun will shine 
