year,V1
2006,i got god on my side and i'm just trying to survive fear's a powerful thing baby it can turn your heart black you can trust fear's a powerful thing it'll turn your heart black you can trust well i've got god on my side and i'm just trying to survive 
2012,what makes you so beautiful is you don't know how beautiful you are you're not tryin to be perfect you're not trying to be perfect 
2008,and i crinkle my nose that you make me smile just take your time wherever you go make me crinkle my nose 
2008,if you just realize what i just realized we'd never have to wonder if we missed out on each other now we missed out on each other but 
2011,oh this is how it starts lighting strikes the heart it goes off like a gun brighter than the sun oh it could be the stars falling from the sky shining how we want brighter than the sun 
2011,i can't live without it i can't let it go ooh what did i get myself into you make we wanna say i do i do i do i do i do i do what more can i get myself into 
2009,oh danny boy the pipes the pipes are calling from glenn to glenn and down the mountain side oh danny boy oh danny boy the pipes are calling from glenn to glenn and even down the mountain side 
2003,hey now they paved paradise to put up a parking lot hey now now don't it always seem to go they paved paradise to put up a parking lot why not hey hey hey paved paradise and put up a parking lot 
2002,and it took me back to somethin that i'd lost somehow somewhere along the way on the sunday morning sidewalks wishin lord that i was stoned and there's nothin short of dyin half as lonesome as the sound on the sleepin city side walks sunday mornin comin down 
1986,c’mon dance he laughed and slapped his leg a step spoken by david bromberg “this is really a true story ya know a lot of people had heard the song and well at least jerry jeff has told me it was a true story i played guitar with jerry jeff walker for about two years and we did this song every night for two years and i never got tired of it jerry got a little tired of it at night after the clubs closed we would do horrible things to it it was a true story he this guy bojangles was a he was a street dancer in new orleans what he do was go from bar to bar and ah he put-a put money in the jukebox or get someone else to do it and then he would either dance or pantomime the tune right and for that people would buy him drinks get him pretty drunk and then he would go onto the next bar and the next one until it was closing time and then he would do it the next night and after a few night of this he would end up on the corner and the cops would pick him up and take him to the drunk-tank which is where jerry jeff met him ah jerry jeff wasn’t there on a research project i i mean the way i got that story i i may have that wrong but the way i got that was he propositioned the right woman at the right time in the wrong place and her husband the bartender… ah called the cops and they ah they took jerry ah to the parish jail and he he and this guy just talked for three days in the cell about you know about what he does” and he danced for you c’mon 
2008,dizee rascal that's why i'm asking b if i'm out on a date tell your boyfriend to hold your jar 
2009,yellow is the colour of my true love's hair i love the best blue's the colour of the sky-y mellow is the feeling that i get 
2006,para bailar la bamba por ti sere por ti sere por ti sere dance the bamba no no no oh una poco de gracia 
2001,sunny yesterday my life was filled with rain sunny you smiled at me and really eased the pain my sunny one shines so sincere the dark days are done 
2011,and they say she's in the class a team the worst things in life come free to us and in a pipe she flies to the motherland it's too cold outside for angels to fly 
2011,you are my one and only you can wrap your fingers round my thumb and hold me tight and you'll be alright and i'll hold you tightly cause you are my one and only and you can wrap your fingers 
2011,and out of all these things i've done i think i love you better now i'll do it all for you in time i think i love you better now now 
2014,and that i'll fight my corner my my-y my my-y give me love you know i'll fight my corner give me love 
2013,inside the mountain i see fire burning the trees blood in the breeze inside the mountains 
2015,i can't go on you can't go on if you say yes or even no you don't know how and where to go i know it's not easy to decide 
2007,oliver's army is here to stay oliver's army are on their way but it's no laughing party all it takes is one itchy trigger 
2014,i don't wanna be your hero i don't wanna be a big man just wanna fight with everyone else i just wanna fight with everyone else 
2008,now would you marry me anyway if i were a carpenter & you were a lady girl would you marry me anyway i want you have my baby 
2001,to the sound of something moving past your window in the wind you may see the floating motion of a distant pair of wings don't be concerned it will not harm you i chase the bright elusive butterfly of love 
2008,i don't hear a word they're sayin only the echoes of my mind i'm goin where the sun keeps shinin bankin off of the northeast wind 
2009,the rest of me is a version of man built to collapse in crumbs so i swim until you can't see land and the land is a marker line all i have is a body adrift in water salt and sky 
2010,she was not the cure for cancer but there is nothing like someone new and this girl she was nothing like you and this girl she was nothing like you whoa 
2014,fly high and let me go when you pass by then you’ll know that this gonna take a bit of getting used to but i know what’s right for you fly high and let me go let me go 
2007,i live for you all this time my thoughts return to you give my love that is all i can do wait in line til i feel you inside 
0,i would be happy just to hold the hands i love if i could know within my heart and to be once again with with you to be once again with with you 
1993,for they looked in the future and what did they see bendin our backs til the long days are done layin down track and buildin the bridges bendin our backs til the railroad is done 
1993,walking in the sun waiting in the sun waiting for someone to take her home waiting for someone 
2009,carefree highway let me slip away on you the morning after blues from my head down to my shoes carefree highway let me slip away slip away on you carefree highway got to see you my old flame 
2009,a routine malaise would you always maybe sometimes think of all the ways 
2002,you're left so am i you are leftso am i you leave all inside you are left so am i 
2001,he'll tell me i'm the one i gotta get someone to call my lover i'll be the girl of his dreams maybe but he's got to have the qualities that i like 
2006,show me the prison show me the prisoner whose life has gone stale show me the alley show me the train 
2006,yellow is the color of my true love's hair in the morning when we rise in the morning when we rise i love the best blue is the color of the sky 
2006,tell me that you'll wait for me cause i'm leaving on a jet plane there's so many times i let you down about the times i won't have to say 
1999,sunshine on my shoulders makes me happy sunshine almost always makes me high if i had a song that i could sing for you sunshine almost always 
2006,lookin for something that i'd like to do with my life live live without care like a fish in the water like a bird in the air 
2006,and to find out who i am and i'm looking to know and understand and sometimes i'm deep in despair when you're looking to try and reach the stars 
2007,to work in the service of life and the living aye calypso the places you've been to the things that you've taught us the stories you tell the things that you've shown us the stories you tell 
1976,where all the money goes jesus christ died for nothin i suppose don't stop to count the years sweet songs never last too long on broken radios 
1977,down by the green river where paradise lay well i'm sorry my son but you're too late in asking mr peabody's coal train has hauled it away and they wrote it all down as the progress of man 
0,but your flag decal won't get you into heaven anymore and your flag decal won't get you into heaven anymore well i went to the bank this morning so i ran the car upside a curb 
1981,i used to sleep at the foot of old glory but much to my surprise i was a victim of the great compromise cause i left her at the drive-in that night 
2015,down the rock island line is a mighty good road the rock island line it's a mighty good road get your ticket at the station of the rock island line well the rock island line is a mighty good road 
2014,"and the one on the left was in the middle and the guy in the rear was a methodist and the one in the middle was on the top and the guy in the rear said ""oh dear"" "
2015,and the beer i had for breakfast wasn't bad and there's nothin short of dyin that's half as lonesome as the sound of a sleepin city sidewalk 
2017,i catch him when he's strayin like any brother should man turns his back on his family he ain't no good i catch him when he's strayin teach him how to walk that line man turns his back on his family ain't no friend of mine 
2002,hear the trumpets hear the pipers multitudes are marching to the big kettledrum and the whirlwind is in the thorn tree the whirlwind is in the thorn tree 
2011,daddy won't you take me back to muhlenberg county down by the green river where paradise lay i'm sorry my son but you're too late in asking so daddy won't you take me back to muhlenberg county 
0,go and tell that midnight rider tell the rambler the gambler the back biter tell em that god's gonna cut em down tell em that god's gonna cut you down 
1973,shoo-bop-bop-bop-bop shoo-bop-bop-bop-bop they took all the trees put them in a tree museum and they charged the people a dollar and a half just to see em 
2008,that david played and it pleased the lord hallelujah you saw her bathing on the roof she tied you to a kitchen chair 
2013,say my name like a scripture legendary lovers we could be legendary we should be legendary 
1970,mm mm i'm tellin you now it's very easy just-a oh yeah i'm tellin you now it's very easy it's easy easy yeah yeah yeah 
1993,and i'm proud to be an american and i'd gladly stand up next to you and defend her still today that i'm proud to be an american 
1992,this land this land is my land from california to the new york island from the red wood forest to the gulf stream water 
1992,to a land that's free let us raise our voices from the mountains to the prairies to the oceans white with foam 
2007,and you want to travel with her and you want to travel blind for you've touched her perfect body with your mind and you know you can trust her 
2009,when we go up to bed you're just no good it's such a shame and then you make this noise and its apparent is all over it's not fair and i think you're really mean i think you're really mean i think you're really mean 
2016,now i shout it from the highest hills even told the golden deffodils and now my heart's an open door and my secret love's no secret anymore 
2003,there is no resurrection and the love direction you make me shine and i know i can feel bad 
2003,once i had a secret love now i shout it from the highest hill at last my heart's an open door and my secret love's no secret anymore 
2006,thinking of her who had you before were you as good as good as we are did you love her the way you love me i know but it's driving me mad 
2008,so here it is here it goes i could try it rock and roll if a song could get me you i could make it high or low 
2010,hey mr tambourine man play a song for me i'm not sleepy and there is no place i'm going to in the jingle jangle morning i'll come followin you yes to dance beneath the diamond sky with one hand waving free 
2011,well i got a brand new pair of roller skates i think that we should get together and try them out you see oh i got a brand new pair of roller skates i think that we should get together and try them out to see 
2008,there's whiskey in the jar-o here i am with a ball and chain yeah there's whiskey in the jar-o yeah whiskey in the jar-o yeah 
2007,and there is no place i'm going to i'm ready for to fade you hey mr tambourine man in the jingle-jangle morning 
2009,but it was not your fault but mine and it was your heart on the line i really fucked it up this time didn't i my 
2007,cause i shiver i just break up when i'm near you it all gets out of hand yes i shiver i get bent up i know you'll understand 
2001,i'm like a bird i only fly away i don't know where my home is all i need for you to know is i'm like a bird i'll only fly away i don't know 
2005,of the life we used to love just to keep ourselves at least enough to carry on and it's so sad to see the world agree 
2008,gonna see the river man gonna tell him all i can about the plan about the ban 
2008,i never saw moons knew the meaning of the sea i never held emotion in the palm of my hand would you love me for my head would you love me ‘til i'm dead 
1999,to her place by the river you can hear the boats go by you can spend the night forever you can hear the boats that go by 
1988,baby if i told you the right words at the right time you'd be mine you'd be mine yeah at the right time you'd be mine 
2010,so rock me mama like a wagon wheel rock me mama any way you feel rock me mama like the wind and the rain rock me mama like a south-bound train 
0,now we've got holes in our hearts well we've got holes in our hearts i said we've got holes in our hearts well we've got holes we've got holes 
2010,two lovers in love can't make it just what kinda love keeps breakin a heart no matter how hard i try your gonna make me cry all that's happenin here is a long goodbye 
2009,it's twenty seconds till the last call lie now you know it's easy and i'll be anything you ask and more it's not a miracle we needed 
1980,i love to dance oh me oh my river of light on the bayou to a love in bloom so to sit and stare at the cajun noon 
2002,let me enfold you waiting to hold you swim to me swim to me oh come and let me enfold you 
2007,ah but only if my own true love is waitin yes and if i could hear her heart a softly poundin would i rest in my bed once again i can't hear the echoes of my footsteps 
2001,you saw her bathing on the roof i've seen your flag on the marble arch it's a cold and it's a broken hallelujah and remember when i moved in you 
0,god damn them all i was told we'd cruise the seas for american gold we'd fire no guns shed no tears -- the last of barrett's privateers 
2005,hey mr tambourine man play a song for me i'm not sleepy and there ain't no place i'm going to i'm ready to go anywhere i'm ready for to fade oh hey mr tambourine man play a song for me 
2011,the river it touches my life like the waves on the sand where the frown on my face disappears take me down to my boat on the river oh the river is deep 
2001,i'm goin where the sun keeps shining through the pouring rain banking off of the northeast wind skipping over the ocean like a stone 
2007,look my eyes are just holograms look your love has drawn red from my hands from my hands you know you'll never be more than twist in my sobriety 
0,know you better know you better now taylor swift & ed sheeran and your eyes look like coming home everything has changed 
2000,the night they drove old dixie down and the bells were ringing and the people were singing and all the bells were ringing 
2014,walk right in sit right down baby let your hair hang down a new way of walkin do you want to lose your mind 
2011,out of night-life i'm a gas man over and over the crow cries uncover the cornfield the thresher and hover the wheat field 
1992,they'll think that i'm just braggin but i could feel the way i do all i need is one of your smiles sunshine of your eye oh me oh my 
2007,now i shout it from the highest hills even told the golden daffodils at last my heart's an open door my secret love's no secret anymore 
2011,walk right in sit right down daddy let your mind roll on everybody's talkin bout a new way of walkin do you want to lose your mind 
2009,bring out all the love you hide and oh what a change there'd be the world would see a new georgy girl 
2007,"i long to hold you tight baby i need your loving when you see me smile ""baby i need your loving "
2007,whack for my daddy-o there's whiskey in the jar-o i took all of his money and i brought it home to molly but here i am in prison here i am with a ball and chain yeah 
2005,while they're standing in the welfare lines wasting time in the unemployment lines talkin bout a revolution and finally the tables are starting to turn 
2005,you've got a fast car speed so fast it felt like i was drunk and i had a feeling that i belonged i had a feeling i could be someone be someone be someone 
2005,is all that you can't say like sorry like sorry i love you like i love you i love you 
2008,you fill my heart with gladness and you take away my sadness and have i told you lately that i love you you take away my sadness 
2010,would you marry me anyway would you have my baby save my love through sorrow you can have my tomorrow just love me only 
2002,when summer's in the mea-eadow or when the valley's hushed or when the winter's whi-ite oh da-anny boy 
2010,mull of kintyre oh mist rolling in from the sea oh mull of kintyre carry me back to the days i knew then 
2008,from california to the new york island from the redwood forest to the gulf stream waters this land was made for you and me the voice was chanting as the fog was lifting 
2007,i came to this strange world hoping i could learn a bit about how to give and take la-la-la-la-la-la-la-la hoping i could learn a bit bout how to give and take 
