year,V1
2000,it's gonna take you over hey hey yeah a new sensation new sensation gonna take you over 
2000,lose my mind and the world seems to disappear all the problems all the fears 
2007,i try to lift a finger but i don't think i can make the call i'm just a dead man can't find a heartbeat i want to be a new man 
2010,the other to push you away i need to feel the scars and see the proof and if we just keep digging we can reach the foundation and if we just keep cutting all the chains from our hearts 
2008,get into a car and drive into the night into the light you babe steppin out 
0,cause i'll tell you one thing you can't get what you want said you can't get what you want you can't get what you want what you want 
2005,freeze frame freeze frame whoo now freeze this freeze frame moment can't be wrong 
2007,this is the modern way taking it as we come we're not the only ones is that what we used to say 
2007,it's not my fault i don't care i don't regret a single thing i tell you what it's going to feel like you lost a limb and you can feel it itch 
2007,and she'll tease you all the better just to please you she'll expose you when she snows you she's ferocious and she knows just 
2007,we got a brand new way to celebrate it oh i got this rage to love oh i got this rage to oh it's just this rage to 
2007,set me free why don't cha babe you just keep me hangin on cause you don't really need me but you keep me hangin on 
2008,you came to my show and i saw you in the crowd i've left my heart to you but it's not fair coz you're taking me for granted baby i made a start with you but it's not fair 
2008,no rest till i get through ‘cause i'm holding out for you am i the only one who's insane and the longer i wait the harder i'm gonna fall 
2008,my heart is yearning but paris is burning paris is burning all night long my heart is dreaming but paris is screaming paris is screaming all night long 
2005,living it up living it up i can feel it living it up is it a crazy notion living it up is it a false emotion to the music i gave the heart i could have given you-hoo 
2008,we never fulfilled them all the homes that we were building we never lived in we never lived them 
2010,so i go insane like i always do and i call your name two kinds of trouble in this world 
2011,oh how can i forget you when there is always something there to remind me i was born to love you you'll always be a part of me 
1999,i don't know what color your eyes are baby your legs are strong and you're so so long and you don't come from this town and i can't share this with you 
0,i didn't mean to turn you on you read me wrong i wasn't trying to lead you on i want a friend 
2009,falling in love again never wanted to what am i to do i just can't help it 
2010,ain't nothin gonna to break my stride nobody's gonna slow me down oh-no i got to keep on moving oh-no i got to keep on moving 
2003,combat baby come back baby don't go quietly combat baby combat baby come back 
2009,ask the line on your face shake your head it's empty coughed out my heart in the last stall now that the damage is done 
2009,you hold my hands down i've been bad you hold my arms down i've been bad i fought the war i fought the war i fought the war but the war won't stop for the love of god 
2009,if i stumble they're gonna eat me alive can you hear my heart beating like a hammer help i'm alive my heart keeps beating like a hammer come take my pulse the pace is on a runaway train 
2009,you better watch out cupid and let me live my life everybody everybody just wanna fall in love everybody everybody just wanna play the lead 
1999,bringing back sweet memories hey i can't stand the rain ooh gainst my window oh no no cause he's not here with me uh 
2008,to pay the rent to pay our share now to pay our share to pay the rent now 
2008,oh girls just wanna have fun girls they wanna have fun oh girls just want to have fun they wanna have fun 
2009,one night in bangkok and the world's your oyster and if you're lucky then the god's a she one night in bangkok and the tough guys tumble i can feel the devil walking next to me 
2010,oh oh i want some more oh oh what are you waiting for what are you waiting for what are you waiting 
2014,but if my heart’s gonna break before the night will end i said ooh ooh we’re in danger all my friends sleeping with a friend if my heart’s gonna break before the night will end 
2007,goin up to the spirit in the sky spirit in the sky that's where i'm gonna go when i die when i die i'm gonna go to the place that's the best go to the place that's the best 
2006,listen to the music on the lake listen to my heart breakany time that he goes away listen to the banjo with a sad song down my face as he turns to go 
2013,and so if i have to i'm gonna leave you behind and we get along for the most part and so if i have to i'm gonna leave you behind leave you behind some of us have to grow up sometimes we grow up never grow old 
2013,don't go crying to your mama cause you're on your own in the real world cause you're on your own in the real world don't go crying cause you're on your own hey in the real world 
2014,i should be over all the butterflies but i'm into you i'm into you i'm into you i'm into you yeah after all this time i'm still into you 
2013,because someday you're gonna be the only one you've got someday you're gonna be the only one you've got why you wanna please the world and leave yourself to drop dead oh why do i defend the state you're in 
2003,we are strong we stand ha ha ha ha-ah-ah ah ha ha ha-ah-ah we're losing control will you turn me away 
2015,jeanie isn't wearing those slit skirts slit skirt she wouldn't dare in those slit skirts slit skirt wouldn't be seen dead in no slit skirt and i don't ever wear no ripped shirts 
2009,this love's for gentlemen only not easily offended not hard to let it go ooooh from a mess to the masses 
2009,it's twenty seconds till the last call lie now you know it's easy and i'll be anything you ask and more it's not a miracle we needed 
2009,and if i only could be running up that building if i only could oooh you and me won't be unhappy 
2016,baby you're much too fast yes you are you need to find a love that's gonna last oh oh need to find a love that's gonna last hey hey you're gonna run your body right into the ground right into the ground 
0,ooh little darlin if u're free 4 a couple o hours free 4 a couple o hours i said let's pretend we're married and go all night oh darlin let's pretend we're married and go all night let's pretend we're married and go all night 2night 
0,let's go crazy let's get nuts let's look for the purple banana let's go look for the purple banana 
2008,johnny's always running around trying to find certainty he needs all the world to confirm that he ain't lonely 
2011,you take me clear to the sky and all the people around the world can stand aside for me and my baby juliet this kind of loving you don't forget 
2009,and i say that i love you i say that i need you no shadow will haunt you baby i leave you the lines in my palm 
2008,to tell it straight i'm trying to build a wall i can say i hope it will be worth what i give up if i could stand up mean for the things that i believe i'm here for myself 
2010,can anybody see me i've been waiting for you to come rescue me i need you to hold all of the sadness i can not i'm trying to tell you something 
2005,and coffee in bed with lips full of passion ooh and i'm back on the beat black black black coffee in bed a stain on my notebook black coffee in bed 
2008,what's that she's playing what's that she's taking that's unexpected you're shooting number one 
2006,we can dance we can dance doing it from pole to pole we can dance we can dance everybody look at your hands we can dance we can dance everybody's taking the chance woh safety dance yeah the safety dance 
2008,i wanna live in a world of sight i want to make the world turn around turn the blindness into sight living in a world of sight 
2007,can you be when some cold tomorrow finds you while you see a chance because it's all on you 
2012,tied to the tracks and the train's fast coming don't mess around with the demolition man i'm a three-line whip i'm the sort of thing they ban i'm a walking disaster i'm a demolition man 
2014,i'm sorry but i'm just thinking of the right words to say i know they don't sound the way i planned them to be but if you wait around a while i'll make you fall for me i promise you i promise 
1991,turn it loud try it i hear it i do it do it do it do it 
2005,is she really going out with him is she really gonna take him home tonight cause if my eyes don't deceive me there's something going wrong around here around here 
2015,put your lovin arms around did you lose your faith in god no does your conscience always get you down these days it's all in the mind 
2015,cold been excommunicated cos i'm cold my temperature's been rated and i'm cold nothing more will make me better in the flood with my blood i can hold you 
2006,and now they're trying to take my life away the sixty-eight to unbreak the promise the sixty-eight guns 
0,don't you know that the night always too long i keep always too long keeps always too long it keeps 
2003,all of it's hot and heavy equipment we're in the basement learning to print 
1989,anyway we can we're gonna find something we'll dance in the garden in torn sheets in the rain 
2009,roam if you want to roam around the world roam if you want to without wings without wheels roam if you want to without anything but the love we feel kick through continents bustin boundaries 
2009,static in my attic from channel z static filling my attic from channel z living on the edge of z all i know we've got to change what's happening 
1992,you'll hear it from me take me down where the love honey flows take me down where the good stuff grows take me down where the love honey flows kiss you nice nibble your toes 
2010,debbie's comin in for a landing dark sunglasses on everyone is here to see her all-girl rock band 
2006,i never thought this day would end i never thought tonight could ever be if only i was sure but if i had your face 
2012,you better watch what you do to me you got lucky babe you got lucky babe when i found you if i don't take you all of the way then go 
2003,when the band began to play and play and we danced like a wave on the ocean romanced we were liars in love and we danced and we danced and danced 
2010,oh catch that buzz love is the drug i'm thinking of love is the drug for me love is the drug got a hook in me 
2005,i'm only human human born to make mistakes so many nights i longed to hold you 
2016,love stinks love stinks love's gonna find you yes it is love stinks i mean it stinks 
2006,beat surrender succumb to the beat surrender all the things that i care about all the things that i'm not sure about 
2007,and she's calling a cab and it's all in my head but she's touching his chest now but it's just the price i pay cause i'm mr brightside 
2007,oh well i don't mind if you don't mind cause i don't shine if you don't shine before you jump tell me what you find 
2008,my sign is vital my hands are cold and i'm on my knees looking for the answer give my regards to soul and romance let me know is your heart still beating 
2008,"and you know i might have just flown the dream maker's gonna make you mad the spaceman says ""everybody look down it's all in your mind"" "
2012,it's the one thing you can choose oh let's take a chance baby we can't lose i knew it when i met you i'm not gonna let you run away 
2012,you're gonna miss me when i'm gone through the desert on a hot night takin chances on a hot night and you took a chance 
2013,give me a shot at the night give me a moment some kind of mysterious give me a moment just give me one shot 
2013,i can feel the cracks in my spirit they're starting to bust don't let her stick it to your heart so hard and of all my friends say and all of my friends say 
2006,but she'll be telling you and it's a teenage sadness till she's sitting on your face it hurts 
2006,i had to get you and so i knew things just ain't the same anytime the hunter gets captured by the game 
2007,in the generation of the amerasian blues photograph of you and of you and mama mama-san 
2004,i'm so excited and i just can't hide it i'm about to lose control and i think i like it let's get excited we just can't hide it i think you get to me 
2002,i want money that's what i want oh come on baby oh yeah that's what i want that's what i want whoa oh that's what i want yeah oh yeah that's what i want 
2013,you're living it all you're living too fast you better hope for the best you better pray for the best 
2005,you don't really need me but you keep me hangin on let me be why don't you baby ooh-ooh-ooh now you don't really want me 
2008,they call me stacey they call me her they call me jane they call me quiet girl 
2008,we got the choice if it all goes wrong we walk we walk if it all goes wrong we walk when it all goes wrong 
2007,when i say i need you you say you better when i say i need you you scream you better and when i say i need you you say you better and when i say i need you you scream you better 
0,i can't stand the rain against my window that i just can't stand yeah i know you got some sweet memories 
1997,oh you better be good to me yeah better be good but you better be good to me yeah you better be good good to me 
2008,breakdown honey take me through the night breakdown now i'm standin here can't you see breakdown it's alright it's alright it's alright 
2001,and nobody's gonna go to school today i don't like i don't like i don't like mondays with the problems and the how's and why's i dont like mondays 
2008,in the middle of a dream you better watch out there's a stranger in town who's this man who fell out of the sky 
2008,now give me money but you're lovin don't pay my bills money don't get everything it's true what it don't get i can't use 
2002,if you're lost you can look and you will find me time after time if you fall i will catch you i'll be waiting if you fall i will catch you and i'll be waiting 
