year,V1
1988,to turn my back on you now would i turn my back on me you know i'll never let you down ah ha i'll never let you down 
2016,i'll be there and you'll be near and that's the deal i dare you've got me head over heels if you really think the way i feel 
2002,she plays the bass in a band she's--not--just a pretty face she's--got--everything it takes she's--mother--of the human race 
2002,‘cause i'm keeping you forever and for always wanna wake up every morning to your sweet face always wanna wake up every morning to your face i'm keeping you forever and for always 
0,it's not so bad--i'm not that sad and it only hurts when i'm breathing my dreams only die when i'm dreaming so i hold my breath--to forget 
2002,oh when you kiss me i know you miss me-- the way you hug me the way you show me that you 
2008,just talk about the lover in me talk about the lover just talk about the lover in me yeah don't talk about no other 
2005,maybe the next time i'll be yours and maybe you'll be mine i don't know if it's even in your mind at all it could be me it could be me that's ingrained in your mind your mind at this moment in time love's indescribable it should be me 
0,i think it's bout time that we hit these niggas upside they got yo shit on the shelf oh mine is too say snoop's upside yo head i guess they got a chance to see dr bombay 
2000,seven years of bad luck your good thing's in your past yeah yeah oh no ooh 
2007,soldiers keep on warrin world keep on turnin til i reach the highest ground i'm so glad that he let me try it again 
1993,i'd like to see you na ked i'd like to see you in the raw what you tryin to do let me do it to you 
0,but we are sick and tired of hearing your song cause if you really want to hear our views jackson 5 join along with me say telling us how you are changing right from wrong 
2007,and you try to front me off in the street shame on you so what the fuss and i forget to set the stupid alarm 
0,and i got that red lip classic thing that you like and then we go crashing down we come back every time cause we never go out of style cause you got that james dean daydream look in your eye 
2007,let's get into it get retarded let's get retarded ha let's get retarded in here let's get retarded ha let's get retarded in here r-e-t-a-r-d-e-d 
2007,take me in your arms before you leave me oh with you baby oh yeah yeah 
2007,he never made her think twice as he rises to her apology he's watching her go what seems to be if love can come and love can go then why can't love return once more 
2010,oh catch that buzz love is the drug i'm thinking of love is the drug for me love is the drug got a hook in me 
0,who's that lady i gotta meet that lady that real fine lady that beautiful lady 
0,it's your thing do what you wanna do i can't tell you who to sock it to make's me no difference now who you give your thing to give your love now to whoever you choose 
0,she's a dancing machine do it baby she's a dance dance dance dance dancing machine as she do do do her thing 
2001,throw your hands in the air if you's a true player to the honies getting money playing niggas like dummies if you got a gun up in your waist please don't shoot up the place why cause i see some ladies tonight that should be having my baby baby uh 
2007,hey y'all prepare yourself for the rubberband man like the rubberband man when the rubberband starts to jam where in the world did he learn that oh lord 
2008,to the hip hip hop-a you don't stop the rock it to the bang-bang boogie say up jump the boogie the hip hip hop-a you don't stop the rock the hip hip-a hop-a you don't stop the rockin 
2001,there is a blue one who can't accept the green one and different strokes for different folks for being such a rich one that will not help the poor one cause there is a yellow one who don't accept the black one 
1993,it was so entertaining when the boogie started to explode burn baby burn disco inferno burn baby burn burn that mother down just can't stop when my spark gets hot 
0,why is it always the ones that we love why must all of the bridges we cross take their toll always remember the voice in your head and it comforts you 
0,i've been grindin and i said make me feel alright you're alright 
0,tonight i'm livin in a fantasy tonight don't you wanna come with me do you think i'm a nasty girl uh it's time to jam 
2006,you just call on me brother when you need a friend i just might have a problem that you'd understand lean on me when you're not strong i'll help you carry on 
