year,V1
2012,if this love only exists in my dreams don't wake me up don't wake me up up up up up up don't wake me up don't wake me 
2012,right now oh yeah so can you co(ooh)ol oh baby right now i wasnt trying to fall for ya 
2012,all i wanna do is fuck your body tonight’s your lucky night i know you want it oooooh ooooh oooooh oooooooh say say say hey 
2007,but you just can't fight the feelin inside i just can't help it i can feel it in the beat uh but you just can't beat the feelin inside 
2009,show me how you move it and you let's just snap in to it let's get the rhythm of the feet this that new ciara yo holla at the dj back it up 
2013,i took your love think i took too much hold me tight i’m coming down - i need your love and i need it now somebody call the doctor before i overdose don’t let me overdose don’t let me overdose i overdosed 
2006,why you treat me so bad baby why you treat me so bad i don't know why baby boy just let me tell you how i really and truly feel you tell me that i always hurt ya i don't know what ya talkin bout 
2011,"i put a spell on you because you're mine i ain't lyin'"" yeah i ain't gonna take none of your "
2007,do the cupid dance a let me see ya do the cupid let me see let me see ya do the cupid do the shuffle baby yeah 
2015,i'm in the corner watching you kiss her oh oh i'm right over here why can't you see me oh oh i'm giving it my all but i'm not the girl you're taking home ooh ooh i keep dancing on my own i keep dancing on my own 
2009,dare i give in to this thing gripping my skin seems like i stand pretty much unseen but i open my eyes and beams come out let my loneliness get blown away 
2013,we'll be shootin stars just passin by we'll be burnin up like neon lights shining like stars cause we're beautiful shining like stars cause we're beautiful beautiful 
1999,"if no one is around you say ""baby i love you"" you acting kind of shady ain't callin me baby better say my name why can't you just tell the truth "
2007,boy you turn me round and round you're turning me around and round you're turning me i said a upside down you're turning me 
0,i'm coming out i want the world to know i got to let it show i'm coming out comin 
2007,why do you have to be a heartbreaker when i was being what you want me to be this world may end not you and i 
2008,dizee rascal that's why i'm asking b if i'm out on a date tell your boyfriend to hold your jar 
2013,i don’t need no speed i don’t need no heroin i’m a bassline junkie what i don’t like it funky 
2009,but i can see you your brown skin shinin in the sun i can tell you my love for you will still be strong i can see you your brown skin shinin in the sun out on the road today i saw a deadhead sticker on a cadillac 
2011,i know you've been hurt i can tell by the way you carry yourself if you let me here's what i'll do i'll take care of you i'll take i'll take i'll take 
2001,sunny yesterday my life was filled with rain sunny you smiled at me and really eased the pain my sunny one shines so sincere the dark days are done 
2015,in between the dark and the light ooh coming right behind you swear i'm gonna find you one of these nights in between the wrong and the right 
2001,all your dreams will come true miles away loving life for you and me that has been in search of you recognize it's your life now in review 
0,let this groove get you to move it's all right all right let this groove set in the shoes let this groove light up the fuse 
2009,i don't wanna be ignored oh god i don't wanna be left out or get fucked but there's a talent in your lies a little bit for myself don't put a price on your health i give a little to her 
2008,i told y'all mother what y'all can't stop me now listen to me now i'm lastin twenty rounds i know you dig the way i sw-sw-switch my style getcha getcha getcha getcha getcha freak on 
0,and drink some cherry wine oh oh to have a good time oh oh and drink some cherry wine oh yeah oh yeah 
0,no you're never gonna get it never ever gonna get it had your chance to make a change it doesn't matter what you do or what you say 
2001,cause i can't help the way that i feel baby you make my love come down make it come all the way down and i can't help the way that i feel 
2009,keep the same appointments i kept if you try walking in my shoes try walking in my keep the same appointments i've kept 
2008,cassius is over what you've got has always gone away cassius cassius at best it's all that we could do now what you've got has always gone away 
2014,i'm make believe so can you not go away if just for one day how d'you feel now how'd you do now in a war and i can't get enough space 
2014,why'd you say that you'd come right back for my love for my faith all the promises you made never realized why'd you say that you'd come right back for my love for my strength sometimes you have to cut the limb to survive 
2014,when you find it all around you say it's what you need and hide your eyes when you're close to me well it comes in waves but it's hardest from the start you know it ooh ooh 
2009,the air attack warning sounds like score no more we got the bomb we got the bomb yeah 
2009,now that you're gone all that's left of the dreams i hold if you were still here with me i wait in the darkness of my lonely room 
2015,i was born to love you with every single beat of my heart yes i was born to take care of you i was born to take care of you 
2011,sometimes i feel i'm gonna break down and cry so lonely nowhere to go nothing to do with my time i get lonely so lonely living on my own i don't have no time for the monkey business 
2006,love don't give no indication love just won't stand still love kills drills you through your heart it's just a living pastime ruining your heartline love won't take no reservations love is no square deal 
2003,and now i'm glad i didn't know the way it all would end the way it all would go i could have missed the pain but i'da had to miss the dance hey who's to say you know i might have changed it all 
2008,well there's nothing to lose i'll be dancing with myself and leave me dancing with myself and i'm be dancing with myself 
2006,here i stand with my everlasting love need you by my side want to be your bride you'll never be denied everlasting love be a lasting part of everlasting love 
2005,it's coming up you just think it hold it down there jump with them all and move it 
2009,you did it to me once you'll do it again i need more of your assistance now you're making me crazy the way that you've been acting lately 
2011,oh take me to your best friend's house i loved you then and i love you now oh yeah don't wave no goodbye don't wave bye don't 
1995,everything i think about i think about everything i talk about i talk about with you but you don't know what i go through and then i will hide 
2008,if i could escape escape and i could be your favorite girl forever and tell me boy now wouldn't that be sweet i didn't mean for you to get hurt 
2003,now can't you see it's burning out of control so come down and satisfy the need in me cause only your good loving can set me free so baby please don't leave me this way 
2009,where you from you sexy thing sexy thing you since you came along you sexy thing i love the way you touch me darling you sexy thing 
1987,so you win again you win again here i stand again the loser and just for fun you took my love and run but love had just begun 
2011,how do you feel i'm lonely what do you think can't think at all so how do you feel i'm lonely how do you feel 
2013,they takes his money and they run and all i can do is watch them go what doesn’t hurt what doesn’t break you try you bleed then finally you breathe 
2009,young love young love ring around the roses young love a pocket full of posies young love all adds up to me and you 
1997,there are times when i feel your love around me baby i'll never forget my baby i'll never forget you i know you are free 
2001,guess i'm gonna have to ride it tonight it's all for you chicka ah if you gotta have it yeah yeah it's all for you 
2013,i did not know it was love i hope this night will last forever makes me feel this way loves me better than you 
2014,laying right here naked in my bed i'm just doing my thing you love it when i sing laying right here dreaming in my bed 
0,yeah it's your world baby it's your world baby boy if you ask it shall be given want me to pay your bills it's nothing 
2011,pick your body up and drop it on the floor whoa live your life and stay young on the floor tonight we gon be it on the floor(whoa live your life and stay young on the floor now dale it's about time 
2014,big big booty what you got a big booty go and grab a man bring him to the dance floor go to work 
2011,and drink some cherry wine uh-huh oh no no oh we don't have to take our clothes off oh no and drink some cherry wine uh-huh we don't have we could dance and party all night dance and party yeah 
2011,you make me feel good you make me feel safe you make me feel like i could live another day you know i wouldn't have it any other way 
0,"""i must have got up about twenty to seven had a shower and had breakfast and er had a couple of pieces of toast you know forced it down then had a cup of coffee it was pouring with rain and i thought oh god you know good old england"" i'm lovin mary jane flyin with lois lane on board a bullet train don't know yet if i'm glad i came "
2007,now why do you wanna go and put starz in their eyes and it's a long way to come from the dog and duck karaoke machine it's the same old story but they just didn't realize and it's a long way to come from your private bedroom dance routines 
2012,you should know it i think it’s time think it’s time that you show it we're not the only ones doin it like that like that you're crazy girl yeah yeah 
2012,i'll be your platinum i'll be your silver i'll be your gold as long as you lo-lo-lo-love me love me as long as you lo-lo-lo-love me i don't know if this makes sense but you're my hallelujah 
2012,i wanna show you all the finer things in life cause all i need is a beauty and a beat it's all about you when the music makes you move body rock girl i wanna feel your body rock 
2014,got the feeling i can't deny only thing is baby i want it all all i need is one more night with you it's amazing what just one more night can do 
2013,boy when you're with me i'll give you a taste make it like your birthday every day so you can have your cake 
2003,my milkshake brings all the boys to the yard and they're like it's better than yours damn right it's better than yours i could teach you but i have to charge 
2003,cause i can't make you love me if you don't and you can't make your heart feel something it won't i will lay down my heart and i'll feel the power but you won't no you won't 
2007,set me free why don't cha babe you just keep me hangin on cause you don't really need me but you keep me hangin on 
2007,if i can't have you i don't want nobody baby if i can't have you oh oh oh oh if i can't have you oh oh oh 
2007,say hey hey hey hollywood hollywood swingin and i saw a kool and the gang show i always wanted to get into a band 
2008,we gonna celebrate and have a good time we gonna celebrate and party with you let's all celebrate and have a good time yeah yeah let's celebrate come on now 
2003,so let's dance through all of this war is over for a bit cure a lonely heart you're a slave to the rhythm 
2001,for the first time i knew we were meant to be as one to be as one for the first time i knew i knew 
2013,i’m gonna wear the tie want the power to leave you let me be the girl under you that makes you cry i wanna be that guy the girl under you guy 
2008,don't ride the white horse if you wanna be rich bitch ride the white pony 
2010,love love you let me down think you should be leaving you're making this too easy you won't string me along 
2010,i know it's up for me if you steal my sunshine making sure i'm not in too deep i know it's done for me 
2008,i've got this feeling down deep in my soul that i just can't lose needed a friend and the way i feel now i guess i'll be with you till the end i'm stuck on you 
1997,oh i'm lost in emotion oh baby i'm lost in emotion am i a fool at least my friends think so i'm lost in emotion 
2002,we got down to the gate i said to myself when we're old we'll go dancing in the dark walking through the park 
1999,i don't know what color your eyes are baby your legs are strong and you're so so long and you don't come from this town and i can't share this with you 
2012,i gotta do it my way so why don't you turn me loose why don't you turn me loose you tried to tie me down 
2007,there's not a minute hour day or night that i don't love you i still remember in the days when i was scared to touch you how i spent my day dreamin plannin how to say i love you and i just don't wanna stop 
0,but we won't let nothin hold us back we're gon polish up our act yeah i know that you refuse to be held down any more yeah-yeah i know that you refuse to be held down any more 
1992,i can't help falling in love i fall deeper and deeper the further i go they get sweeter and sweeter the more that i know and my mama made me learn this song 
1998,and i feel like i just got home and i feel quicker than a ray of light she's flying quicker than a ray of light i'm flying 
2012,i thought it was you and i loved you the most i made a decision i would never look back 
2014,first you love me and i let you in i'm not giving up i'm gonna carry on i'm living for love 
2007,you've got me feeling emotions oh you've got me feeling emotions baby you've got me feelin emotions oh you've got me feelin emotions 
2008,i'm like that ooowee and you know you need this man and you know i got this man gonna be your everything 
2009,boy up out my face boy up out my face i break uh when i break 
2010,can you feel it baby it's such a good vibration it's such a sweet sensation it's such a sweet sensation feel the vibration 
2007,and when i get that feeling i want sexual healing sexual healing is something that's good for me helps to relieve the mind and it's good for us 
0,i hope this night will last forever you knew i could not resist makes me feel this way loves me better than you 
2010,ain't nothin gonna to break my stride nobody's gonna slow me down oh-no i got to keep on moving oh-no i got to keep on moving 
2015,do you believe in life after love i can feel something inside me say i really don't think you're strong enough no i don't need you anymore 
2009,what is it that you do you gotta get back up yourself we know so much so much we do 
2016,it's like thunder the way you love me is frightening i better knock on wood baby i better knock baby 
1999,bringing back sweet memories hey i can't stand the rain ooh gainst my window oh no no cause he's not here with me uh 
1983,if you live it off the wall life ain't so bad at all live life off the wall live your life off the wall live it off the wall life ain't so bad at all live life off the wall 
2008,i said you wanna be startin somethin and the pain is thunder yeah yeah you're a vegetable you're a vegetable you're just a buffet you're a vegetable 
2008,girl be mine - tell me that you love me you're everything this world could be the reason that i live and girl i'll give you all i got to give all the time say you're thinking of me you're everything this world could be to me hold me tight every night it's alright 
2008,you're fighting for your life inside a killer thriller tonight yeah you hear the door slam and realize there's nowhere left to run that it's a thriller thriller night so let me hold you tight and share a killer diller chiller thriller here tonight 
2008,she's just a girl who claims that i am the one but the kid is not my son she says i am the one but the kid is not my son she says i am the one 
2008,i want to love you you need some lovin i'll take you there take you there 
2004,jam it ain't too much it ain't too much for me to jam it ain't don't you jam it ain't too 
2008,it can cut you like a knife she's a maniac maniac on the floor it's a push-shove world but there's always a chance she's a maniac maniac at your door 
2010,cause the way you got your body moving you know i wanna believe that we're a masterpiece but sometimes it's hard to tell in the dark who owns my heart who owns my heart 
2013,know i love you more and when you say you need me boy i adore you i adore you 
2014,all i want is everything does that make sense i crashed your new ferrari yes that makes you 
2001,i told y'all mother(*skurt* y'all can't stop me now listen to me now i'm lastin twenty rounds yes is you with me now yes then biggie biggie bounce yes people gon play me now yes in and outta town 
2009,i want to reconcile the violence in your heart i want to recognize your beauty's not just a mask i want to exorcise the demons from your past i want to satisfy the undisclosed desires in your heart 
2013,when you spit your venom keep it shut i hate it when your words mean nothing i go la la la i'm turning up the volume when you speak cause if my heart can't stop it i find a way to block it i go 
2005,of the life we used to love just to keep ourselves at least enough to carry on and it's so sad to see the world agree 
2017,you got to cool it now you got to slow it down you're gonna fall in love you better slow it down 
2012,i-i-i wanna give you one last option i-i-i wanna give you one last chance if-if you looking for the main attraction just hold on tight and let me do my dance 
2012,the boys always spending all their money on love you get high fuck a bunch of girls and then cry on top of the world i hope you have the time of your life 
2015,by the way what he say that he love my sex appeal so i pulled up in the jag and i hit em with the jab like 
2005,"screaming at the top of your lungs come on do what you want do do do do what you want yeah come on"" do do do do what you want yeah come on "
2009,where i disappear and hide i think dreamy things as i'm waving goodbye so i'll spread out my wings and fly i'll spread my wings and fly 
1982,sending you forget me nots baby please forget me not i want you to remember those were the times we had 
2007,shake your groove thing shake your groove thing yeah yeah show em how to do it now we're bumping booties 
1996,or not to believe how could you let him treat so bad treat ya treat ya baby don't be sad now girlfriend how could you let him treat you so bad girlfriend you know you were the best he ever had 
2011,i'm outta my mind outta my mind marc anthony so let it rain over me whoooo-hoooo so let it rain over me 
2014,let's just go with the flow and climbing up on the tables so tell the dj don't stop grab someone if you're not 
1986,you don't have to be rich to be my girl you don't have to be cool to rule my world i just want your extra time and your kiss ain't no particular sign i'm compatible with 
2010,i was born to love you with every single beat of my heart yes i was born to take care of you yeah i want to love you 
2008,oh baby love me right cause with you is where i got to be yeah you know i want to be the only one cause with you is where i got to be 
1995,in the night i dream of love so true in the night in my dreams i'm in love with you i feel joy i feel pain cause it's still the same when the night is gone i'll be alone 
1995,run away run away run away and save your life money sex in full control a generation without soul you'd better keep the faith and run away you better break free oh oh oh oh run away oh oh oh oh 
0,the colors of the crown and sherri wants to tear it all back down girl the savior of your light several of my best friends know 
2009,all the sweet green icing flowing down and i'll never have that recipe again and i'll never have the recipe again i will drink the wine while it is warm 
2010,want you to make me feel like i'm the only girl in the world like i'm the only one that you'll ever love like i'm the only one who knows your heart 
2009,"i wanna know if you'll be my girl when you turned and walked away that's when i wanna say i wanna know if you'll be my girl"" i say "
2009,cause she's shaking it for daddy yeah she's shaking it for me yeah she's shaking it for daddy yeah she's shaking it for me she's lifting up her ass and she drops it to the beat she's shaking it so fast for the cash ching-a-ling 
2009,people all over the world everybody start a love train love train people all over the world we all need join hands people all over the world don't waste your time 
2008,at the car wash woah talking about the car wash yeah car wash wooh car wash yeah at the car wash 
2008,listen to your heart when he's calling for you but listen to your heart before you tell him goodbye listen to your heart take a listen to it when he's calling for you listen to your heart take a listen to it there's nothing else you can do 
2003,and i feel like i'm laughin in a dream how do you do the things that you do no-one i know could ever keep up with you hey i gotta know did you say hello how do you do 
2001,shouldn't you know i'm bound to follow where the waters flow that's where i'll meet you and the sun will glow 
2007,i drove all night to get to you i drove all night crept in your room woke you from your sleep to make love to you i drove all night 
0,don't stop moving to the s club beat don't stop moving listen to the music taking you to places don't stop movin to the s club beat 
2017,i want to feel your body touch me touch me now this is the night yeah cos i want your body all the time 
2010,i'm missing you so much can't help it i'm in love a day without you is like a year without rain i'm missing you so much so much 
2011,it's the city of love that waits for you lose yourself tonight come alive let the moment take you lose control tonight it's a perfect world when you go all the way 
2003,i'll try to make you love me again i'll give you all my love and then i'll cry i'll try i'll cry i'll die 
1993,and if i ever ever fall in love again again i will be sure that the lady is a friend and if i ever ever fall in love so true true i will be sure that the lady's just like you 
2014,but you can't keep runnin away from love cause the first one let you down no no no and though others try to satisfy you baby cause the first one let you down 
2004,to you my dear if you're not in it for love if you're not willin to give it all you got let me make it clear to you my dear 
0,you've changed then i asked you to hold me and i knew it you do it all over the world but you've changed 
2010,i know i shouldn't go your love is bittersweet the fire in your touch i always find so hard to beat 
2009,i've tried to hold myself together heartbreak make me a dancer dancer do it alone i couldn't do it alone keep my heart beating faster faster 
2007,and the planets of the universe go their way you and i will simply disappear out of sight but i'm afraid soon there'll be no light and i will live alone 
2009,cause i'm too sexy in this club too sexy in this club so sexy it hurts if you feel sexy in this club 
2008,now i know that you want it you've indicated tell me what i gotta say to take you away with me to take you away 
2007,it only takes a minute girl it only takes a minute girl only take a minute girl it only takes a minute girl it only take a minute girl it only takes a minute girl that's one minute for ya 
1999,baby i want you come come come into my arms let me feel the wonder of all of you could it be magic now now now and hold on fast could this be the magic at last 
2007,how deep is your love i really need to learn we belong to you and me i really meant to learn 
2010,cause i can't make you love me if you don't i will lay down my heart and i'll feel the power cause i can't make you love me baby i will lay down my heart and feel the power 
2006,it only takes a minute girl to fall in love to fall in love to fall in love let's fall in love it only takes a minute girl yeah 
1993,heaven must be missing an angel your love is heavenly baby it's cause heaven must be missing an angel heaven must be missing an angel 
2009,we can take forever just a minute at a time minute at a time more than a woman to me baby more than a woman to me more than a woman to me yes you are baby 
0,and i got that red lip classic thing that you like and then we go crashing down we come back every time cause we never go out of style cause you got that james dean daydream look in your eye 
0,and i remember thinkin are we out of the woods yet are we out of the woods but when the sun came up you were looking at me 
2004,only you baby only you only you you you you you love me like you do you got what i want yes you do 
2015,i ain't lyin no i ain't lyin yeah i can't stand it the way you're always puttin me down i just can't stand it baby the way you're always tryin to put me down i just can't stand it the way you're always runnin round 
2014,free your mind and the rest will follow be colour blind don't be so shallow i can't change my mind and you can't change my colour before you can read me i know you can see me 
2009,my grandma says to your grandma jockomo feena ah na nay hey now hey now iko iko an nay whoah-oh 
2007,try to find a place we can all belong we should really try make a better world 
2010,pump it louder come on baby just this joint is fizzlin it's sizzlin right come on baby do it 
2008,i swear i never meant for this it was an honest mistake an honest mistake an honest 
2005,oh yeah what if i'm getting dumber what if i'm just in denial and i know there's no excuse and no defense it's true 
1999,my grandma and your grandma hey now hey now iko iko an day oh jocomo fee no an dan day 
2005,watch who's comin at you why who's got the power why who's comin through watch who's gonna get you back on the bus 
2008,cause i have done it before and i can do it some more tick tick tick tick tick tick tick boom ha ch-check it 
2005,i love you this old heart darling is weak for you but if you leave me a hundred times this old heart of mine darling is weak for you 
0,she's a dancing machine do it baby she's a dance dance dance dance dancing machine as she do do do her thing 
2008,how did you know cause i never told but you found out i've got a crush on you you found out i've got a crush on you that you would know my thoughts before a word was said 
2011,if i ever give you up my heart will surely fail i could never get back up when the future starts so slow if there's a time when your feelings gone i wanna feel it you can blow what's left of my right mind 
2008,wish i could be like superman wish i could fly around with superman wish i could play like superman i want to be be like superman 
2006,i had to get you and so i knew things just ain't the same anytime the hunter gets captured by the game 
2012,say someday we'll be together i know i know i know i know my love is yours baby some sweet day we'll be together 
1993,the girl's got plenty good lovin ask me how i know and i'll tell you so she used ta be my girl 
2005,he's saying i'm on a roll with all the girls i know he says i'm on a roll his baby momma don't need to know 
2004,i'm so excited and i just can't hide it i'm about to lose control and i think i like it let's get excited we just can't hide it i think you get to me 
2007,jump if you want to taste my kisses jump i know my heart can make you happy jump in you know these arms can feel you up 
2007,look what you're doing to me it's totally automatic all of my systems are down automatic automatic 
2007,i don't need a man to make it happen i don't need a man to make me feel good i don't need a ring around my finger i don't need a man i don't 
2005,i want your hot stuff i got to feel it i want you back baby i need it come on 
2006,to you i guess i'm just a clown you know you've got the power girl to keep me holding on come on and take the rest of me 
2013,oh is it love that's in the air baby baby baby boy you make me feel so fine boy you make me feel so good boy you make me feel so right baby baby baby sh-sh-sh una shake me if i'm dreaming 
2009,for the carnival is over like a drum my heart was beating and your kiss was sweet as wine for pierrot and columbine 
2008,to the hip hip hop-a you don't stop the rock it to the bang-bang boogie say up jump the boogie the hip hip hop-a you don't stop the rock the hip hip-a hop-a you don't stop the rockin 
2011,i just dont think im coming down and whats the reasons why you proud i cant stand to see that side of my face and i bet you wish i'd disappear 
2005,you don't really need me but you keep me hangin on let me be why don't you baby ooh-ooh-ooh now you don't really want me 
2008,and the strings and the drums the drums the drums and nothing but the girls the drums the drums 
0,you think you're a man you weren't man enough but you're only a boy but you're only a toy 
2002,i'm gonna get free ride into the sun she never loved me i'll take your photo for ya 
2004,that's the start the middle and the end ride with me fuck the world and liberate our time i'm not waiting a long while 
2011,now i'll take you by the hand can you spend a little time make you glad you came i'm glad you came i'm glad you came 
2011,i began to touch but you wouldn't let it and we begin to rock steady steady rockin all night long and we begin to rock steady rockin till the break of dawn you wanted me so much but i didn't get it 
0,i can't stand the rain against my window that i just can't stand yeah i know you got some sweet memories 
1993,it was so entertaining when the boogie started to explode burn baby burn disco inferno burn baby burn burn that mother down just can't stop when my spark gets hot 
2008,i am not your señorita when all the boys can't be men everybody knows i'm her friend in my heart in my heart 
2008,i just need contemplation over you i'm not the only one that holds you you're my only girl porgy yeah 
2009,let's make this happen girl and it can work for you let's get this started girl it's been a lot to change 
2002,a man will crawl it's no secret at all a man will fall love we shine like a burning star 
2002,it's alright it's alright it's alright she moves in mysterious ways she moves in mysterious ways oh move spirits move you oh yeah she moves in mysterious ways 
1993,through the light projected he can see himself up close and i feel like i'm drifting drifting drifting from the shore a man makes a car she's your destination and builds a road to run them on gotta get to her she is the dreamer she's imagination 
2002,need you by my side you'll never be denied open up your heart be a lasting part of 
2010,i'm a beast i'm an animal i'm that monster in the mirror if you really want more scream it out louder get it on the floor bring out the fire get out both your hands i'm in the zone s'aite 
2010,yeah baby tonight the dj got us fallin in love again love again gon get you right cause baby tonight c'mon c'mon 
2006,the way it all would end the way it all would go i could have missed the pain but i'd have had to miss the dance hey who's to say you know i might have changed it all 
2001,never sad boys good guys they made rules for fools so what the hell gives you the right to look at me well i think that you may just be right 
2003,fun and sunshine - there's enough for everyone all that's missing is the sea but don't worry you can suntan gotta move your feet don't you miss the flight 
2004,but it's okay i'm gonna make it anyway don't you dare come running back to me close the door behind you 
2005,when there's no one else around and do all the things i told you i'm gonna wait way in the midnight hour you know what i'm gonna hold you in my arms 
2007,"next time i'll be true yeah whispers in the powder room ""she cries on every tune and the music don't feel like it did when i felt it with you "
2007,what ya find ahh what you find what ya know ahh what you know what you find ahh what you find what you know ahh what you know 
